project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Abiteye,,gas_extraction_area,,,Nigeria,operating,,,1.20,million boe/y,point,5.663,5.296,,https://www.gem.wiki/Abiteye_Oil_and_Gas_Field_(Nigeria),operating
Abo,,gas_extraction_area,Eni S.P.A. (85%);Oando Energy Resources (15%),Eni S.P.A. (85%);Oando Energy Resources (15%),Nigeria,operating,2003,,9.96,million boe/y,point,5.761,4.466,,https://www.gem.wiki/Abo_Oil_and_Gas_Field_(Nigeria),operating
Abu Attifel,,gas_extraction_area,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),Libya,operating,1972,,57.32,million boe/y,point,26.418,18.37,,https://www.gem.wiki/Bu_Attifel_Oil_Field_(Libya),operating
Abu El Gharadig,,gas_extraction_area,Apache Egypt (66.7%);SINOPEC (33.3%),APA Coropration (66.7%),Egypt,operating,1973,,2.11,million boe/y,point,29.672,28.534,,https://www.gem.wiki/Abu_El_Gharadig_Oil_and_Gas_Field_(Egypt),operating
Abu Madi,,gas_extraction_area,Eni S.P.A. (75%);BP (25%),Eni S.P.A. (75%);BP P.L.C. (25%),Egypt,operating,1975,,1.00,million boe/y,point,31.361,31.178,,https://www.gem.wiki/Abu_Madi_Oil_and_Gas_Field_(Egypt),operating
Abu Qir,,gas_extraction_area,Energean (100%),Energean (100%),Egypt,operating,1987,,,,point,27.219,30.232,,https://www.gem.wiki/Abu_Qir_Gas_Field_(Egypt),operating
Adanga,,gas_extraction_area,,,Nigeria,operating,,,5.33,million boe/y,point,4.308,8.339,,https://www.gem.wiki/Adanga_Oil_and_Gas_Field_(Nigeria),operating
Adanga South,,gas_extraction_area,,,Nigeria,operating,,,2.62,million boe/y,point,4.8765,7.2907,,https://www.gem.wiki/Adanga_South_Oil_and_Gas_Field_(Nigeria),operating
Adua,,gas_extraction_area,,,Nigeria,operating,,,4.76,million boe/y,point,4.1078,7.6988,,https://www.gem.wiki/Adua_Oil_and_Gas_Field_(Nigeria),operating
Agbada,,gas_extraction_area,TNOG Oil and Gas Limited (45%);Nigerian National Petroleum Corporation (55%),Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,9.89,million boe/y,point,4.937,6.975,,https://www.gem.wiki/Agbada_Oil_and_Gas_Field_(Nigeria),operating
Agbami,,gas_extraction_area,Chevron (67.3%);Equinor (20.2%);Petrobras (12.5%),Chevron Corporation (67.3%);Equinor ASA (20.2%);Petrobras (12.5%);Petróleo Brasileiro S.A. (12.5%),Nigeria,operating,2008,,78.29,million boe/y,point,3.429,5.55,,https://www.gem.wiki/Agbami_Oil_and_Gas_Field_(Nigeria),operating
Agbara,,gas_extraction_area,,,Nigeria,operating,,,4.91,million boe/y,point,3.928,6.386,,https://www.gem.wiki/Agbara_Oil_and_Gas_Field_(Nigeria),operating
Ahnet,,gas_extraction_area,,,Algeria,in development,2025 (expected),,,,point,24,2,,https://www.gem.wiki/Ahnet_Gas_Field_(Algeria),construction_plus
Ain Tsila,,gas_extraction_area,Petroceltic (38.3%);Enel (18.4%);Sonatrach (43.4%),Worldview Capital Management group (38.3%);Enel Spa (18.4%);Sonatrach SPA (43.4%),Algeria,in development,2022 (expected),,,,point,27.693,8.012,,https://www.gem.wiki/Ain_Tsila_Oil_and_Gas_Field_(Algeria),construction_plus
Akaso,,gas_extraction_area,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,,,point,4.5357,7.0103,,https://www.gem.wiki/Akaso_Oil_and_Gas_Field_(Nigeria),operating
Akpo,,gas_extraction_area,TotalEnergies Upstream Nigeria Limited (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (SAPETRO) (5%);CNOOC Limited (45%);Petrobras (16%),TotalEnergies (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (5%);CNOOC Limited (45%);Petrobras (16%);Petróleo Brasileiro S.A. (16%),Nigeria,operating,2009,,121.80,million boe/y,point,3.087,6.811,,https://www.gem.wiki/Akpo_Oil_and_Gas_Field_(Nigeria),operating
Al Karam,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,27.219,30.232,,https://www.gem.wiki/Al_Karam_Oil_and_Gas_Field_(Egypt),operating
Alrar,,gas_extraction_area,Sonatrach (100%),Sonatrach SPA (100%),Algeria,operating,1987,,53.04,million boe/y,point,28.561,9.645,,https://www.gem.wiki/Alrar_Gas_Field_(Algeria),operating
Amenam-Kpono,,gas_extraction_area,Nigerian National Petroleum Corporation (60%);TotalEnergies E&P Nigeria Limited (40%),Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),Nigeria,operating,2003,,23.86,million boe/y,point,4.0855,7.3064,,https://www.gem.wiki/Amenam-Kpono_Oil_and_Gas_Field_(Nigeria),operating
Amoji/Matsogo/Igbolo,,gas_extraction_area,Swift Oil Limited (60%),Swift Oil Limited (60%),Nigeria,operating,,,,,point,8.6806,7.5529,,https://www.gem.wiki/Amoji/Matsogo/Igbolo_Oil_and_Gas_Project_(Nigeria),operating
Anchois Phase 1,,gas_extraction_area,,,Morocco,discovered,2027,,,,point,35.18,-6.3636,,https://www.gem.wiki/Anchois_Phase_1_Gas_Field_(Morocco),proposed_plus
Anieze,,gas_extraction_area,Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Nigeria,operating,,,16.87,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Anieze_Oil_and_Gas_Field_(Nigeria),operating
Anyala-Madu,,gas_extraction_area,FIRST Exploration & Production (40%);Nigerian National Petroleum Corporation (60%),FIRST Exploration and Petroleum Development Company Ltd. (40%);Nigerian National Petroleum Corporation (60%),Nigeria,operating,2020,,10.79,million boe/y,point,4.0105,5.836,,https://www.gem.wiki/Anyala-Madu_Oil_and_Gas_Field_(Nigeria),operating
Anz,,gas_extraction_area,,,Nigeria,operating,,,2.09,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Anz_Oil_and_Gas_Field_(Nigeria),operating
Area 1,,gas_extraction_area,,,Mozambique,in development,2023 (expected),,,,point,-10.97,40.846,,https://www.gem.wiki/Area_1_Gas_Block_(Mozambique),construction_plus
Area 4,,gas_extraction_area,,,Mozambique,operating,,,,,point,-10.916,41.115,,https://www.gem.wiki/Area_4_Gas_Block_(Mozambique),operating
Asabo,,gas_extraction_area,,,Nigeria,operating,,,6.25,million boe/y,point,4.096,7.772,,https://www.gem.wiki/Asabo_Oil_and_Gas_Field_(Nigeria),operating
Ashaka,,gas_extraction_area,,,Nigeria,operating,,,3.67,million boe/y,point,4.0987,8.0072,,https://www.gem.wiki/Ashaka_Oil_and_Gas_Field_(Nigeria),operating
Assa North-Ohaji South,,gas_extraction_area,Nigerian Petroleum Development Company (57.5%);Seplat Petroleum (20%);Shell Petroleum Development Company of Nigeria (15%);Eni S.P.A. (2.5%);TotalEnergies (5%),Nigerian National Petroleum Corporation (57.5%);Seplat Petroleum (20%);Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (8.2%);Shell plc (4.5%);TotalEnergies (1.5%);Eni (0.8%);Eni S.P.A. (2.5%);TotalEnergies (5%),Nigeria,in development,2021 (expected),,,,point,6.8501,5.438,,https://www.gem.wiki/Assa_North-Ohaji_South_Oil_and_Gas_Project_(Nigeria),construction_plus
Assil,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,27.219,30.232,,https://www.gem.wiki/Assil_Oil_and_Gas_Field_(Egypt),operating
Atoll,,gas_extraction_area,BP (100%),BP P.L.C. (100%),Egypt,operating,2018,,23.11,million boe/y,point,32.226,31.886,,https://www.gem.wiki/Atoll_Oil_and_Gas_Field_(Egypt),operating
Atoll Phase 2,,gas_extraction_area,,,Egypt,in development,2021 (expected),,,,point,32.225,31.9,,https://www.gem.wiki/Atoll_Phase_2_Oil_and_Gas_Field_(Egypt),construction_plus
Awawa,,gas_extraction_area,ExxonMobil;Nigerian National Petroleum Corporation,ExxonMobil Corporation;Nigerian National Petroleum Corporation,Nigeria,operating,,,3.31,million boe/y,point,3.9184,7.4534,,https://www.gem.wiki/Awawa_Oil_and_Gas_Field_(Nigeria),operating
Awoba (Eroton),,gas_extraction_area,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,6.94,million boe/y,point,4.536,6.811,,https://www.gem.wiki/Awoba_(Eroton)_Oil_and_Gas_Field_(Nigeria),operating
Awoba/Ekulama 1 & 2 (Newcross),,gas_extraction_area,Newcross (45%);Nigerian National Petroleum Corporation (55%),Newcross Petroleum Limited (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,1972,,10.05,million boe/y,point,4.536,6.811,,https://www.gem.wiki/AwobaEkulama_1_&_2_(Newcross)_Oil_and_Gas_Project_(Nigeria),operating
Azuzuama,,gas_extraction_area,,,Nigeria,operating,,,1.84,million boe/y,point,4.727,5.904,,https://www.gem.wiki/Azuzuama_Oil_and_Gas_Field_(Nigeria),operating
Bahga,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,29.271,28.371,,https://www.gem.wiki/Bahga_Oil_and_Gas_Field_(Egypt),operating
Bahr Es Salam (Structures A&E),,gas_extraction_area,,,Libya,in development,2026,,,,point,33.77,12.658,,https://www.gem.wiki/Bahr_Es_Salam_(Structures_A&E)_Oil_and_Gas_Field_(Libya),construction_plus
Bahr Es Salam (Structures B&C),,gas_extraction_area,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),Libya,operating,2005,,79.66,million boe/y,point,33.757,12.678,,https://www.gem.wiki/Bahr_Es_Salam_Gas_Field_(Libya),operating
Baleine Phase 1,,gas_extraction_area,,,Côte d'Ivoire,in development,2023 (expected),,,,point,6.1101,-5.5376,,https://www.gem.wiki/Baleine_Phase_1_Oil_Field_(Côte_d'Ivoire),construction_plus
